condition_type,day_type,condition_value,end_station_name,return_count,end_lat,end_lng,total_returns_in_group,return_share
cold,weekday,cold,Austin Ave & Milwaukee Ave,8,41.98736,-87.77804999999998,285975,2.7974473293120028e-05
cold,weekday,cold,Austin Blvd & Chicago Ave,8,41.894887,-87.774704,285975,2.7974473293120028e-05
cold,weekday,cold,Austin Blvd & Lake St,6,41.88794379427211,-87.77427345514297,285975,2.098085496984002e-05
cold,weekday,cold,Austin Blvd & Madison St,11,41.880281,-87.774453,285975,3.846490077804004e-05
cold,weekday,cold,Ave L & 114th,1,41.68803,-87.53641,285975,3.4968091616400035e-06
cold,weekday,cold,Avenue O & 118th St,1,41.68100145911039,-87.5379312226869,285975,3.4968091616400035e-06
cold,weekday,cold,Avenue O & 134th St,1,41.6519026853208,-87.53955539376464,285975,3.4968091616400035e-06
cold,weekday,cold,Avers Ave & 16th St,2,41.85909,-87.72121,285975,6.993618323280007e-06
cold,weekday,cold,Avers Ave & Belmont Ave,121,41.939408,-87.723574,285975,0.0004231139085584404
cold,weekday,cold,Avers Ave & Foster Ave,3,41.97541,-87.72451999999998,285975,1.049042748492001e-05
cold,weekday,cold,Avondale Ave & Irving Park Rd,155,41.953393,-87.732002,285975,0.0005420054200542005
cold,weekday,cold,Baltimore Ave & 133rd St,7,41.65349,-87.54703,285975,2.4477664131480024e-05
cold,weekday,cold,Baltimore Ave & 87th St,4,41.73733560041666,-87.54851460456847,285975,1.3987236646560014e-05
cold,weekday,cold,Benson Ave & Church St,487,42.048214,-87.683485,285975,0.0017029460617186817
cold,weekday,cold,Bernard St & Elston Ave,73,41.949923,-87.713949,285975,0.00025526706879972026
cold,weekday,cold,Bernard St & Peterson Ave,17,41.9904393,-87.715236,285975,5.944575574788006e-05
cold,weekday,cold,Big Marsh Park,1,41.68587705562333,-87.57382392883301,285975,3.4968091616400035e-06
cold,weekday,cold,Bissell St & Armitage Ave*,536,41.9182955629354,-87.65218332409859,285975,0.0018742897106390419
cold,weekday,cold,Blackstone Ave & 59th St,1278,41.787877,-87.590461,285975,0.0044689221085759245
cold,weekday,cold,Blackstone Ave & Hyde Park Blvd,286,41.802562,-87.590368,285975,0.001000087420229041
cold,weekday,cold,Blue Island Ave & 18th St,312,41.857556,-87.661535,285975,0.001091004458431681
cold,weekday,cold,Bosworth Ave & Howard St,40,42.019537,-87.669563,285975,0.00013987236646560014
cold,weekday,cold,Bradley Park,3,41.717878301935,-87.56459176540375,285975,1.049042748492001e-05
cold,weekday,cold,Broadway & Argyle St,339,41.97423,-87.65977350000001,285975,0.0011854183057959612
cold,weekday,cold,Broadway & Barry Ave,840,41.93758231600629,-87.6440978050232,285975,0.002937319695777603
cold,weekday,cold,Broadway & Belmont Ave,704,41.94010600392988,-87.6454510048789,285975,0.0024617536497945625
cold,weekday,cold,Broadway & Berwyn Ave,561,41.97836100000001,-87.659789,285975,0.001961709939680042
cold,weekday,cold,Broadway & Cornelia Ave,931,41.945529,-87.646439,285975,0.0032555293294868433
cold,weekday,cold,Broadway & Cuyler Ave,41,41.955417,-87.6515,285975,0.00014336917562724014
cold,weekday,cold,Broadway & Granville Ave,244,41.9947796884,-87.6602845349,285975,0.0008532214354401609
cold,weekday,cold,Broadway & Oakdale Ave,116,41.93558083163717,-87.64404965678466,285975,0.0004056298627502404
cold,weekday,cold,Broadway & Ridge Ave,269,41.9840446107,-87.6602738295,285975,0.0009406416644811609
cold,weekday,cold,Broadway & Roscoe Ave,133,41.94360000000001,-87.64532000000001,285975,0.00046507561849812046
cold,weekday,cold,Broadway & Sheridan Rd,840,41.952833,-87.649993,285975,0.002937319695777603
cold,weekday,cold,Broadway & Sunnyside Ave,155,41.963419,-87.656069,285975,0.0005420054200542005
cold,weekday,cold,Broadway & Thorndale Ave,256,41.98974251144,-87.6601406209,285975,0.0008951831453798409
cold,weekday,cold,Broadway & Waveland Ave,1145,41.949074,-87.648636,285975,0.004003846490077804
cold,weekday,cold,Broadway & Wilson Ave,573,41.965221,-87.658139,285975,0.002003671649619722
cold,weekday,cold,Buckingham Fountain,44,41.87130745884732,-87.62309887518705,285975,0.00015385960311216015
cold,weekday,cold,Budlong Woods Library,23,41.98366470886,-87.6964225611,285975,8.042661071772008e-05
cold,weekday,cold,Burley Ave & 85th St,2,41.74117,-87.54518,285975,6.993618323280007e-06
cold,weekday,cold,Burling St & Diversey Pkwy,652,41.93314,-87.64776,285975,0.0022799195733892823
cold,weekday,cold,Burling St & Diversey Pkwy*,21,41.93314,-87.64776,285975,7.343299239444007e-05
cold,weekday,cold,Burnham Greenway & 105th St,5,41.7045750872071,-87.52823173999786,285975,1.7484045808200017e-05
cold,weekday,cold,Burnham Greenway & 112th St,7,41.69177385116831,-87.53043115139008,285975,2.4477664131480024e-05
cold,weekday,cold,Burnham Harbor,119,41.85741178707404,-87.61379152536392,285975,0.0004161202902351604
cold,weekday,cold,California & 16th St,16,41.859228,-87.695562,285975,5.5948946586240056e-05
cold,weekday,cold,California Ave & 21st St,46,41.8537957934734,-87.69582286477088,285975,0.00016085322143544016
