end_station_name,return_count_dry,return_count_rainy,return_share_dry,return_share_rainy,total_return_count,rainy_minus_dry_share,rainy_dry_share_ratio,end_lat,end_lng
Streeter Dr & Grand Ave,20462.0,9463.0,0.006399714762004548,0.008508522459064593,29925.0,0.002108807697060045,1.329515837184543,41.892278002970286,-87.61204300164603
Streeter Dr/Grand Ave,2262.0,1317.0,0.0007074652913524722,0.0011841619019959916,3579.0,0.00047669661064351934,1.673808231530314,41.89240100000001,-87.612388
Halsted St & Fulton St,9899.0,3943.0,0.0030960207423068624,0.003545292619263626,13842.0,0.0004492718769567635,1.1451126362639845,41.88685835666811,-87.64802209919087
Clark St & Elm St,21444.0,7921.0,0.006706846024651819,0.007122054992946279,29365.0,0.0004152089682944605,1.061908221071438,41.903017321641414,-87.63152289470456
Field Museum,7202.0,2926.0,0.0022525044333866068,0.0026308714694307303,10128.0,0.00037836703604412353,1.1679760814051643,41.8653120005395,-87.61786701481803
Shedd Aquarium,14195.0,5311.0,0.004439641826148693,0.0047753104491273434,19506.0,0.00033566862297865034,1.0756071233932656,41.867225962011034,-87.61535540410257
Clinton St & Jackson Blvd,17336.0,6379.0,0.0054220240012760644,0.005735587526827965,23715.0,0.0003135635255519008,1.0578314422154276,41.87831662050808,-87.64098109175531
Sheffield Ave & Fullerton Ave,11821.0,4452.0,0.0036971473072845156,0.004002952762100345,16273.0,0.00030580545481582967,1.0827138728011803,41.9256163,-87.65365740000001
Kingsbury St & Kinzie St,29446.0,10567.0,0.009209559225979177,0.009501168427024786,40013.0,0.00029160920104560895,1.031663748744811,41.889172621529056,-87.63849963502554
Ashland Ave & Division St,9972.0,3778.0,0.003118852292381456,0.0033969352055739227,13750.0,0.00027808291319246677,1.0891619089207405,41.90318794361149,-87.66894633544676
Wilton Ave & Belmont Ave,15607.0,5736.0,0.0048812603015641175,0.0051574431813583965,21343.0,0.0002761828797942789,1.0565802284966348,41.940231918108594,-87.65294373035431
Michigan Ave & 8th St,11687.0,4360.0,0.00365523733865444,0.003920232264770329,16047.0,0.000264994926115889,1.0724973042971089,41.87277296771354,-87.62398098838872
