end_station_name,return_count_weekday,return_count_weekend,return_share_weekday,return_share_weekend,condition_type,condition_value,weekend_minus_weekday_share_under_weather,total_return_count_under_weather,end_lat,end_lng
Broadway & Granville Ave,244.0,137.0,0.0008532214354401609,0.0016969516802298936,cold,cold,0.0008437302447897328,381.0,41.9947796884,-87.6602845349
Broadway & Oakdale Ave,116.0,44.0,0.0004056298627502404,0.0005450063790519367,cold,cold,0.00013937651630169625,160.0,41.93558083163717,-87.64404965678466
Broadway & Ridge Ave,269.0,117.0,0.0009406416644811609,0.0014492215079335588,cold,cold,0.0005085798434523979,386.0,41.9840446107,-87.6602738295
Broadway & Roscoe Ave,133.0,31.0,0.00046507561849812046,0.000383981767059319,cold,cold,-8.109385143880148e-05,164.0,41.94360000000001,-87.64532000000001
Broadway & Sheridan Rd,840.0,327.0,0.002937319695777603,0.0040503883170450745,cold,cold,0.0011130686212674715,1167.0,41.952833,-87.649993
Broadway & Sunnyside Ave,155.0,52.0,0.0005420054200542005,0.0006440984479704706,cold,cold,0.00010209302791627003,207.0,41.963419,-87.656069
Broadway & Thorndale Ave,256.0,197.0,0.0008951831453798409,0.002440142197118898,cold,cold,0.0015449590517390573,453.0,41.98974251144,-87.6601406209
Broadway & Waveland Ave,1145.0,516.0,0.004003846490077804,0.006391438445245439,cold,cold,0.0023875919551676348,1661.0,41.949074,-87.648636
Broadway & Wilson Ave,573.0,183.0,0.002003671649619722,0.0022667310765114635,cold,cold,0.0002630594268917415,756.0,41.965221,-87.658139
Buckingham Fountain,44.0,49.0,0.00015385960311216015,0.0006069389221260203,cold,cold,0.00045307931901386015,93.0,41.87130745884732,-87.62309887518705
Burling St & Diversey Pkwy,652.0,278.0,0.0022799195733892823,0.003443449394919054,cold,cold,0.0011635298215297717,930.0,41.93314,-87.64776
Burnham Harbor,119.0,86.0,0.0004161202902351604,0.0010652397408742397,cold,cold,0.0006491194506390793,205.0,41.85741178707404,-87.61379152536392
California Ave & 21st St,46.0,7.0,0.00016085322143544016,8.670556030371719e-05,cold,cold,-7.414766113172297e-05,53.0,41.8537957934734,-87.69582286477088
