condition_type,day_type,condition_value,end_station_name,return_count
cold,weekday,cold,Campbell Ave & Augusta Blvd,199
cold,weekday,cold,Campbell Ave & Fullerton Ave,107
cold,weekday,cold,Campbell Ave & Irving Park Rd,26
cold,weekday,cold,Campbell Ave & Montrose Ave,234
cold,weekday,cold,Campbell Ave & North Ave,416
cold,weekday,cold,Canal St & Adams St,2695
cold,weekday,cold,Canal St & Harrison St,327
cold,weekday,cold,Canal St & Jackson Blvd,1639
cold,weekday,cold,Canal St & Lake St,1
cold,weekday,cold,Canal St & Madison St,3877
cold,weekday,cold,Canal St & Monroe St,932
cold,weekday,cold,Canal St & Taylor St,506
cold,weekday,cold,Cannon Dr & Fullerton Ave,96
cold,weekday,cold,Carpenter St & 63rd St,1
cold,weekday,cold,Carpenter St & Fulton St,237
cold,weekday,cold,Carpenter St & Huron St,540
cold,weekday,cold,Central & Elston,2
cold,weekday,cold,Central Ave & Altgeld St,13
cold,weekday,cold,Central Ave & Chicago Ave,11
cold,weekday,cold,Central Ave & Harrison St,5
cold,weekday,cold,Central Ave & Lake St,11
cold,weekday,cold,Central Ave & Madison St,1
cold,weekday,cold,Central Ave & Parker Ave,10
cold,weekday,cold,Central Ave & Roscoe St,8
cold,weekday,cold,Central Ave & Wellington Ave,6
cold,weekday,cold,Central Park & Augusta Blvd,18
cold,weekday,cold,Central Park Ave & 24th St,19
cold,weekday,cold,Central Park Ave & Ardmore Ave,15
cold,weekday,cold,Central Park Ave & Bloomingdale Ave,95
cold,weekday,cold,Central Park Ave & Douglas Blvd,3
cold,weekday,cold,Central Park Ave & Elbridge Ave,88
cold,weekday,cold,Central Park Ave & North Ave,64
cold,weekday,cold,Central Park Ave & Ogden Ave,34
cold,weekday,cold,Central Park Ave & Ohio St,10
cold,weekday,cold,Central Park Ave & Washington Blvd,2
cold,weekday,cold,Central Park Blvd & 5th Ave,11
cold,weekday,cold,Central St & Girard Ave,55
cold,weekday,cold,Central St Metra,62
cold,weekday,cold,Cherry Ave & Blackhawk St,132
cold,weekday,cold,Chicago Ave & Sheridan Rd,315
cold,weekday,cold,Chicago Ave & Washington St,120
cold,weekday,cold,Chicago State University,16
cold,weekday,cold,Christiana Ave & Lawrence Ave,128
cold,weekday,cold,Cicero Ave & Lake St,5
cold,weekday,cold,Cicero Ave & Quincy St,2
cold,weekday,cold,Cicero Ave & Roscoe Ave,8
cold,weekday,cold,Cicero Ave & Wellington Ave,3
cold,weekday,cold,Cicero Ave & Wrightwood Ave,21
cold,weekday,cold,Cityfront Plaza Dr & Pioneer Ct,772
cold,weekday,cold,Claremont Ave & Hirsch St,165
cold,weekday,cold,Clarendon Ave & Gordon Ter,820
cold,weekday,cold,Clarendon Ave & Junior Ter,490
cold,weekday,cold,Clarendon Ave & Leland Ave,421
cold,weekday,cold,Clark St & 9th St (AMLI),275
cold,weekday,cold,Clark St & Arlington Pl,261
cold,weekday,cold,Clark St & Armitage Ave,892
cold,weekday,cold,Clark St & Berwyn Ave,668
cold,weekday,cold,Clark St & Bryn Mawr Ave,400
cold,weekday,cold,Clark St & Chicago Ave,760
cold,weekday,cold,Clark St & Columbia Ave,166
cold,weekday,cold,Clark St & Drummond Pl,719
cold,weekday,cold,Clark St & Eddy St,183
cold,weekday,cold,Clark St & Elm St,1958
cold,weekday,cold,Clark St & Elmdale Ave,147
cold,weekday,cold,Clark St & Fletcher St,54
cold,weekday,cold,Clark St & Grace St,464
cold,weekday,cold,Clark St & Ida B Wells Dr,782
cold,weekday,cold,Clark St & Jarvis Ave,47
cold,weekday,cold,Clark St & Lake St,1601
cold,weekday,cold,Clark St & Leland Ave,417
cold,weekday,cold,Clark St & Lincoln Ave,896
cold,weekday,cold,Clark St & Lunt Ave,289
cold,weekday,cold,Clark St & Montrose Ave,328
cold,weekday,cold,Clark St & Newport St,861
cold,weekday,cold,Clark St & North Ave,364
cold,weekday,cold,Clark St & Schiller St,721
cold,weekday,cold,Clark St & Schreiber Ave,172
cold,weekday,cold,Clark St & Touhy Ave,47
cold,weekday,cold,Clark St & Washington St,82
cold,weekday,cold,Clark St & Wellington Ave,713
cold,weekday,cold,Clark St & Winnemac Ave,799
cold,weekday,cold,Clark St & Wrightwood Ave,923
cold,weekday,cold,Clark/Newport Corral,15
cold,weekday,cold,Clark/Racine Corral,4
cold,weekday,cold,Clifton Ave & Armitage Ave,638
cold,weekday,cold,Clinton St & 18th St,226
cold,weekday,cold,Clinton St & Jackson Blvd,2750
cold,weekday,cold,Clinton St & Lake St,2132
cold,weekday,cold,Clinton St & Madison St,3333
cold,weekday,cold,Clinton St & Polk St,84
cold,weekday,cold,Clinton St & Roosevelt Rd,441
cold,weekday,cold,Clinton St & Tilden St,628
cold,weekday,cold,Clinton St & Washington Blvd,4067
cold,weekday,cold,Clybourn Ave & Division St,447
cold,weekday,cold,Clyde Ave & 87th St,3
cold,weekday,cold,Columbus Ave & 79th St,19
cold,weekday,cold,Columbus Ave & 83rd Pl,2
