end_station_name,end_lat,end_lng,return_count_weekday,return_count_weekend,total_return_count,heavy_label,topk_group,topk_union,search_radius_m,education,food_drink,health,office,other_amenity,recreation,retail,tourism,transit,total_services_all,total_services_interpretable
Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,9771.0,3168.0,12939.0,weekday-heavy,weekday_only,100,100,0,2,1,0,0,0,1,1,1,6,6
Adler Planetarium,41.866095,-87.607267,7762.0,4876.0,12638.0,weekday-heavy,weekend_only,100,100,0,0,0,0,0,0,0,3,2,5,5
Ashland Ave & Division St,41.90318794361149,-87.66894633544676,10207.0,3543.0,13750.0,weekday-heavy,weekday_only,100,100,0,0,0,0,0,0,0,0,0,0,0
Bissell St & Armitage Ave*,41.9182955629354,-87.65218332409859,7701.0,3998.0,11699.0,weekday-heavy,weekend_only,100,100,0,0,0,0,0,0,0,0,0,0,0
Broadway & Barry Ave,41.93758231600629,-87.6440978050232,11913.0,6288.0,18201.0,weekday-heavy,overlap,100,100,0,0,0,0,0,0,0,0,0,0,0
Broadway & Belmont Ave,41.94010600392988,-87.6454510048789,9289.0,4188.0,13477.0,weekday-heavy,overlap,100,100,0,0,0,0,0,0,0,0,0,0,0
Broadway & Cornelia Ave,41.945529,-87.646439,13156.0,6306.0,19462.0,weekday-heavy,overlap,100,100,0,0,0,0,0,0,0,0,0,0,0
Broadway & Sheridan Rd,41.952833,-87.649993,9007.0,4286.0,13293.0,weekday-heavy,weekend_only,100,100,0,0,0,0,0,0,0,0,0,0,0
Broadway & Waveland Ave,41.949074,-87.648636,12636.0,5882.0,18518.0,weekday-heavy,overlap,100,100,0,0,0,0,0,0,0,0,0,0,0
Buckingham Fountain,41.87130745884732,-87.62309887518705,6292.0,3598.0,9890.0,weekday-heavy,weekend_only,100,100,0,0,0,0,0,0,0,0,2,2,2
Canal St & Adams St,41.879255,-87.639904,19724.0,1747.0,21471.0,weekday-heavy,weekday_only,100,100,0,5,0,0,0,0,5,1,15,26,26
Canal St & Jackson Blvd,41.87812864569744,-87.63996997065593,10978.0,848.0,11826.0,weekday-heavy,weekday_only,100,100,0,6,0,0,0,0,3,1,22,32,32
Canal St & Madison St,41.882409,-87.639767,26693.0,2608.0,29301.0,weekday-heavy,weekday_only,100,100,0,18,0,0,0,0,3,0,17,38,38
Clarendon Ave & Gordon Ter,41.95786652415175,-87.64950513839722,9174.0,4034.0,13208.0,weekday-heavy,weekend_only,100,100,0,0,0,0,0,0,0,0,0,0,0
Clarendon Ave & Junior Ter,41.961004,-87.649603,7400.0,3877.0,11277.0,weekday-heavy,weekend_only,100,100,0,0,0,0,0,0,0,0,0,0,0
Clark St & Armitage Ave,41.918305755768,-87.63628183370878,15407.0,8627.0,24034.0,weekday-heavy,overlap,100,100,0,0,0,0,0,0,0,0,0,0,0
Clark St & Berwyn Ave,41.97802884484359,-87.66836255860282,7342.0,3725.0,11067.0,weekday-heavy,weekend_only,100,100,0,0,0,0,0,0,0,0,0,0,0
Clark St & Drummond Pl,41.931248,-87.644336,10279.0,4764.0,15043.0,weekday-heavy,overlap,100,100,0,0,0,0,0,0,0,0,0,0,0
Clark St & Elm St,41.90301732164141,-87.63152289470456,20810.0,8555.0,29365.0,weekday-heavy,overlap,100,100,0,2,0,0,0,0,2,0,8,12,12
Clark St & Grace St,41.95078,-87.659172,6706.0,3565.0,10271.0,weekday-heavy,weekend_only,100,100,0,0,0,0,0,0,0,0,0,0,0
Clark St & Lake St,41.88602073203813,-87.63087535800302,14389.0,3551.0,17940.0,weekday-heavy,weekday_only,100,100,0,7,0,2,0,0,1,0,8,18,18
Clark St & Lincoln Ave,41.915689,-87.6346,14534.0,8838.0,23372.0,weekday-heavy,overlap,100,100,0,0,0,0,0,0,0,0,0,0,0
Clark St & Newport St,41.94454,-87.654678,11196.0,5940.0,17136.0,weekday-heavy,overlap,100,100,0,0,0,0,0,0,0,0,0,0,0
Clark St & North Ave,41.911974,-87.631942,6653.0,3847.0,10500.0,weekday-heavy,weekend_only,100,100,0,1,0,0,0,0,0,0,8,9,9
Clark St & Schiller St,41.907993,-87.631501,9835.0,4738.0,14573.0,weekday-heavy,overlap,100,100,0,0,0,0,0,0,0,0,4,4,4
Clark St & Wellington Ave,41.9364968219,-87.6475386582,9011.0,3823.0,12834.0,weekday-heavy,weekend_only,100,100,0,0,0,0,0,0,0,0,0,0,0
Clark St & Winnemac Ave,41.97334764047304,-87.6678554713726,8861.0,4396.0,13257.0,weekday-heavy,weekend_only,100,100,0,0,0,0,0,0,0,0,0,0,0
