model_variant,profile_difference_l1,top_weekend_oriented_service,top_weekday_oriented_service,education_diff,food_drink_diff,health_diff,office_diff,recreation_diff,retail_diff,tourism_diff,transit_diff
composition,0.12306125346782058,tourism,food_drink,-0.000755186006172073,-0.04355681332056366,-0.002550801119284834,-0.013523902927543213,-0.001143923360346499,0.0011411282882438645,0.035547182136449876,0.024842316309216572
intensity,0.07805925816935902,retail,food_drink,-0.00012887153167817113,-0.018851378334833135,-0.0006392606475373909,-0.011357376808419112,0.00029917523735688463,0.027951261883538775,0.010779191963783838,-0.008052741762211713
binary_presence,0.0778889431374841,transit,health,-0.0028630262773107137,0.0035506900037928224,-0.015660493373231485,-0.014916225547813633,-0.005504726370386237,0.0033998786994462737,0.013175325224544954,0.018818577640957984
