service_category,observed_diff,bootstrap_mean,ci_low,ci_high,percent_positive,percent_negative,excludes_zero,p_bootstrap_two_sided,q_value_fdr,significant_after_fdr
tourism,0.035547182136449876,0.034593643295663,0.01330988266264338,0.05663175167766621,1.0,0.0,True,0.0,0.0,True
transit,0.024842316309216572,0.02415558779843483,-0.002088915878951748,0.04868096201255842,0.962,0.038,False,0.076,0.1216,False
retail,0.0011411282882438645,0.001377344187907866,-0.015487987438728581,0.024465001258029945,0.531,0.469,False,0.938,0.938,False
education,-0.000755186006172073,-0.0007422313617012854,-0.0018249599279353942,0.0002747287000283404,0.078,0.922,False,0.156,0.1782857142857143,False
recreation,-0.001143923360346499,-0.0011190702913265445,-0.002428697893554786,0.00031514679219400075,0.051,0.949,False,0.102,0.13599999999999998,False
health,-0.002550801119284834,-0.0024325996404929366,-0.004305765619173607,-0.00047307254728486836,0.011,0.989,True,0.022,0.044,True
office,-0.013523902927543213,-0.013340821929386933,-0.017880144544887913,-0.009086344803516704,0.0,1.0,True,0.0,0.0,True
food_drink,-0.04355681332056366,-0.042491852059097994,-0.06399150135956537,-0.020997444187850902,0.0,1.0,True,0.0,0.0,True
