topk_union,radius_m,union_station_count,stations_used,covered_return_share,profile_difference_l1,top_weekend_oriented_service,top_weekday_oriented_service,education_diff,food_drink_diff,health_diff,office_diff,recreation_diff,retail_diff,tourism_diff,transit_diff
20,100,29,23,0.8072715404015247,0.21250855474903008,transit,food_drink,0.0010452667397688453,-0.0642259154761986,-0.0056762898073667994,-0.009009841030202182,-0.0031465436539223467,-0.02419568740682511,0.028927450764807364,0.07628155986993884
20,250,29,24,0.8527170294091431,0.19325398817661835,tourism,food_drink,-0.001082425484749329,-0.07422407216556037,-0.003861214094792306,-0.015520985846572917,-0.0019382964966342987,0.0050079294531855945,0.06270216138129492,0.02891690325382862
20,500,29,25,0.8833530827430357,0.14453663483961465,tourism,food_drink,-0.001257576891765917,-0.046121552623572704,0.0012074550546563208,-0.015062114682612576,-0.001805266205238576,-0.008021807016617533,0.03741432364433894,0.03364653872081208
50,100,72,44,0.6628795135508219,0.17183115903292948,transit,food_drink,0.0013123850530638087,-0.04510246023044462,-0.0031934731009638975,-0.011856353513164924,-0.0011289503498148907,-0.02463434232207644,0.02447726353486533,0.060125930928535576
50,250,72,45,0.6856260513794886,0.14989390759696586,tourism,food_drink,-0.00044040601888982846,-0.05334762088717987,-0.00378540499701192,-0.01554216042318899,-0.0016570605160640467,-0.00017430095614823227,0.04597958153199205,0.02896737226649093
50,500,72,46,0.7009601177807462,0.11074616477012031,tourism,food_drink,-0.0009706386748394445,-0.03342725920176759,0.0005670344200760982,-0.013288263569427236,-0.0011968903906368188,-0.006490030548389064,0.028447267457114955,0.026358780507869106
100,100,129,72,0.6109951752781501,0.13444660791603708,transit,food_drink,0.0010241086422711045,-0.03827711088686875,-0.0023092030913769435,-0.011151552574518442,-0.001079032558954994,-0.014406404846299473,0.01530889508683382,0.050890300228913554
100,250,129,75,0.6362693836986936,0.12306125346782058,tourism,food_drink,-0.000755186006172073,-0.04355681332056366,-0.002550801119284834,-0.013523902927543213,-0.001143923360346499,0.0011411282882438645,0.035547182136449876,0.024842316309216572
100,500,129,77,0.6527099312032043,0.08854442756354024,tourism,food_drink,-0.0008733452860011474,-0.02740818852213156,0.00040235226225822374,-0.010947725337867323,-0.0010100321670249435,-0.004032922468745148,0.023422367285763246,0.020447494233748642
