end_station_name,end_lat,end_lng,return_count_weekday,return_count_weekend,total_return_count,heavy_label,topk_group,topk_union,search_radius_m,education,food_drink,health,office,other_amenity,recreation,retail,tourism,transit,total_services_all,total_services_interpretable
Adler Planetarium,41.866095,-87.607267,7762.0,4876.0,12638.0,weekday-heavy,weekend_only,50,100,0,0,0,0,0,0,0,3,2,5,5
Broadway & Barry Ave,41.93758231600629,-87.6440978050232,11913.0,6288.0,18201.0,weekday-heavy,weekend_only,50,100,0,0,0,0,0,0,0,0,0,0,0
Broadway & Cornelia Ave,41.945529,-87.646439,13156.0,6306.0,19462.0,weekday-heavy,overlap,50,100,0,0,0,0,0,0,0,0,0,0,0
Broadway & Waveland Ave,41.949074,-87.648636,12636.0,5882.0,18518.0,weekday-heavy,weekend_only,50,100,0,0,0,0,0,0,0,0,0,0,0
Canal St & Adams St,41.879255,-87.639904,19724.0,1747.0,21471.0,weekday-heavy,weekday_only,50,100,0,5,0,0,0,0,5,1,15,26,26
Canal St & Madison St,41.882409,-87.639767,26693.0,2608.0,29301.0,weekday-heavy,weekday_only,50,100,0,18,0,0,0,0,3,0,17,38,38
Clark St & Armitage Ave,41.918305755768,-87.63628183370878,15407.0,8627.0,24034.0,weekday-heavy,overlap,50,100,0,0,0,0,0,0,0,0,0,0,0
Clark St & Drummond Pl,41.931248,-87.644336,10279.0,4764.0,15043.0,weekday-heavy,weekend_only,50,100,0,0,0,0,0,0,0,0,0,0,0
Clark St & Elm St,41.90301732164141,-87.63152289470456,20810.0,8555.0,29365.0,weekday-heavy,overlap,50,100,0,2,0,0,0,0,2,0,8,12,12
Clark St & Lake St,41.88602073203813,-87.63087535800302,14389.0,3551.0,17940.0,weekday-heavy,weekday_only,50,100,0,7,0,2,0,0,1,0,8,18,18
Clark St & Lincoln Ave,41.915689,-87.6346,14534.0,8838.0,23372.0,weekday-heavy,overlap,50,100,0,0,0,0,0,0,0,0,0,0,0
Clark St & Newport St,41.94454,-87.654678,11196.0,5940.0,17136.0,weekday-heavy,weekend_only,50,100,0,0,0,0,0,0,0,0,0,0,0
Clark St & Wrightwood Ave,41.929546,-87.643118,11618.0,5702.0,17320.0,weekday-heavy,weekend_only,50,100,0,0,0,0,0,0,0,0,0,0,0
Clinton St & Jackson Blvd,41.87831662050808,-87.64098109175531,21413.0,2302.0,23715.0,weekday-heavy,weekday_only,50,100,0,5,0,1,0,0,1,0,12,19,19
Clinton St & Lake St,41.885637,-87.641823,15088.0,2973.0,18061.0,weekday-heavy,weekday_only,50,100,0,4,0,1,0,0,2,0,7,14,14
Clinton St & Madison St,41.88275006331282,-87.64119022354309,25104.0,4057.0,29161.0,weekday-heavy,weekday_only,50,100,0,17,0,1,0,1,3,0,21,43,43
Clinton St & Washington Blvd,41.883378993326986,-87.64117008864396,29100.0,1489.0,30589.0,weekday-heavy,weekday_only,50,100,0,25,1,2,0,1,6,1,17,53,53
Columbus Dr & Randolph St,41.884728,-87.619521,14610.0,4676.0,19286.0,weekday-heavy,weekday_only,50,100,0,3,1,1,0,0,1,0,4,10,10
