end_station_name,end_lat,end_lng,return_count_weekday,return_count_weekend,total_return_count,heavy_label,topk_group,topk_union,search_radius_m,education,food_drink,health,office,other_amenity,recreation,retail,tourism,transit,total_services_all,total_services_interpretable
Adler Planetarium,41.866095,-87.607267,7762.0,4876.0,12638.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,4,10,14,14
Broadway & Barry Ave,41.93758231600629,-87.6440978050232,11913.0,6288.0,18201.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Broadway & Cornelia Ave,41.945529,-87.646439,13156.0,6306.0,19462.0,weekday-heavy,overlap,50,500,0,0,0,0,0,0,0,0,0,0,0
Broadway & Waveland Ave,41.949074,-87.648636,12636.0,5882.0,18518.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Canal St & Adams St,41.879255,-87.639904,19724.0,1747.0,21471.0,weekday-heavy,weekday_only,50,500,2,108,6,20,1,2,31,9,120,299,298
Canal St & Madison St,41.882409,-87.639767,26693.0,2608.0,29301.0,weekday-heavy,weekday_only,50,500,2,137,6,23,1,3,49,12,111,344,343
Clark St & Armitage Ave,41.918305755768,-87.63628183370878,15407.0,8627.0,24034.0,weekday-heavy,overlap,50,500,0,0,0,0,0,0,0,0,0,0,0
Clark St & Drummond Pl,41.931248,-87.644336,10279.0,4764.0,15043.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Clark St & Elm St,41.90301732164141,-87.63152289470456,20810.0,8555.0,29365.0,weekday-heavy,overlap,50,500,0,58,2,1,1,0,57,2,75,196,195
Clark St & Lake St,41.88602073203813,-87.63087535800302,14389.0,3551.0,17940.0,weekday-heavy,weekday_only,50,500,2,193,5,53,1,3,61,21,132,471,470
Clark St & Lincoln Ave,41.915689,-87.6346,14534.0,8838.0,23372.0,weekday-heavy,overlap,50,500,0,5,0,0,0,0,0,0,2,7,7
Clark St & Newport St,41.94454,-87.654678,11196.0,5940.0,17136.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Clark St & Wrightwood Ave,41.929546,-87.643118,11618.0,5702.0,17320.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Clinton St & Jackson Blvd,41.87831662050808,-87.64098109175531,21413.0,2302.0,23715.0,weekday-heavy,weekday_only,50,500,2,86,3,13,0,1,26,9,98,238,238
Clinton St & Lake St,41.885637,-87.641823,15088.0,2973.0,18061.0,weekday-heavy,weekday_only,50,500,0,98,2,13,1,6,37,8,65,230,229
Clinton St & Madison St,41.88275006331282,-87.64119022354309,25104.0,4057.0,29161.0,weekday-heavy,weekday_only,50,500,2,108,4,19,1,3,42,9,76,264,263
Clinton St & Washington Blvd,41.883378993326986,-87.64117008864396,29100.0,1489.0,30589.0,weekday-heavy,weekday_only,50,500,1,100,3,18,1,4,38,8,67,240,239
Columbus Dr & Randolph St,41.884728,-87.619521,14610.0,4676.0,19286.0,weekday-heavy,weekday_only,50,500,0,50,5,18,0,0,12,14,60,159,159
Daley Center Plaza,41.88424087537072,-87.62963348535213,18249.0,3266.0,21515.0,weekday-heavy,weekday_only,50,500,3,205,9,50,1,3,104,14,164,553,552
Dearborn Pkwy & Delaware Pl,41.898969,-87.629912,15557.0,5924.0,21481.0,weekday-heavy,overlap,50,500,2,90,0,3,0,4,120,7,78,304,304
Dearborn St & Erie St,41.893992,-87.629318,16058.0,6012.0,22070.0,weekday-heavy,overlap,50,500,2,195,0,13,0,5,88,14,100,417,417
Dearborn St & Monroe St,41.881319815,-87.6295209193,13388.0,2359.0,15747.0,weekday-heavy,weekday_only,50,500,4,199,10,55,1,3,113,27,214,626,625
Desplaines St & Kinzie St,41.888716036,-87.6444478533,14298.0,5357.0,19655.0,weekday-heavy,overlap,50,500,0,65,2,4,0,5,25,2,43,146,146
DuSable Lake Shore Dr & Belmont Ave,41.940775,-87.639192,10711.0,6146.0,16857.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
DuSable Lake Shore Dr & Diversey Pkwy,41.932588,-87.636427,12317.0,7044.0,19361.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
DuSable Lake Shore Dr & Monroe St,41.880958,-87.616743,20698.0,17218.0,37916.0,weekday-heavy,overlap,50,500,0,4,1,1,0,0,0,4,13,23,23
DuSable Lake Shore Dr & North Blvd,41.911722,-87.626804,19730.0,14940.0,34670.0,weekday-heavy,overlap,50,500,0,3,1,2,0,0,1,2,20,29,29
DuSable Lake Shore Dr & Wellington Ave,41.936688449499705,-87.63682901859283,9542.0,5887.0,15429.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Dusable Harbor,41.88697599432289,-87.61281299950515,11732.0,8761.0,20493.0,weekday-heavy,weekend_only,50,500,0,8,0,0,0,0,4,19,14,45,45
Ellis Ave & 55th St,41.79430062054,-87.6014497734,13088.0,4088.0,17176.0,weekday-heavy,weekday_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Ellis Ave & 60th St,41.78509714636001,-87.6010727606,13248.0,4417.0,17665.0,weekday-heavy,weekday_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Franklin St & Monroe St,41.88031616332084,-87.63518440237203,18703.0,774.0,19477.0,weekday-heavy,weekday_only,50,500,0,166,5,43,1,1,52,17,142,427,426
Green St & Madison St,41.88185932803824,-87.64926373958588,13280.0,4796.0,18076.0,weekday-heavy,overlap,50,500,0,101,9,8,3,13,79,5,44,262,259
Halsted St & Roscoe St,41.943667741716816,-87.64895781893892,9475.0,4982.0,14457.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Indiana Ave & Roosevelt Rd,41.86788801019692,-87.6230410031074,13985.0,6983.0,20968.0,weekday-heavy,overlap,50,500,0,32,2,3,0,4,24,8,74,147,147
Kingsbury St & Erie St,41.8939139,-87.6417358,14745.0,4339.0,19084.0,weekday-heavy,weekday_only,50,500,1,14,1,9,0,1,10,1,24,61,61
Kingsbury St & Kinzie St,41.889172621529056,-87.63849963502554,31094.0,8919.0,40013.0,weekday-heavy,overlap,50,500,1,66,1,12,0,0,28,11,38,157,157
LaSalle St & Illinois St,41.890762,-87.631697,14260.0,5252.0,19512.0,weekday-heavy,overlap,50,500,1,193,1,18,0,2,48,19,91,373,373
LaSalle St & Jackson Blvd,41.878166,-87.631929,13930.0,876.0,14806.0,weekday-heavy,weekday_only,50,500,0,153,3,39,3,1,69,69,168,505,502
Lakefront Trail & Bryn Mawr Ave,41.98404411519213,-87.65228122472763,6778.0,5157.0,11935.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973,10132.0,5140.0,15272.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Larrabee St & Kingsbury St,41.897764,-87.642884,15621.0,2597.0,18218.0,weekday-heavy,weekday_only,50,500,1,11,2,5,0,1,9,0,26,55,55
Larrabee St & Webster Ave,41.921822,-87.64414,9969.0,5387.0,15356.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Lincoln Ave & Fullerton Ave,41.924161029067626,-87.64638036489487,11652.0,4908.0,16560.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Lincoln Park Conservatory,41.92393131136619,-87.63582453131676,7981.0,4903.0,12884.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
McClurg Ct & Ohio St,41.892592119709725,-87.61728912591934,15303.0,6651.0,21954.0,weekday-heavy,overlap,50,500,4,72,5,5,0,5,22,9,56,178,178
Michigan Ave & 8th St,41.87277296771354,-87.62398098838872,9895.0,6152.0,16047.0,weekday-heavy,weekend_only,50,500,2,49,1,2,0,6,33,41,80,214,214
Michigan Ave & Lake St,41.886022,-87.624398,14404.0,4544.0,18948.0,weekday-heavy,weekday_only,50,500,1,148,11,31,1,2,79,31,132,436,435
Michigan Ave & Oak St,41.90096039009614,-87.62377663865593,21157.0,13471.0,34628.0,weekday-heavy,overlap,50,500,0,72,1,5,1,1,129,11,53,273,272
Michigan Ave & Washington St,41.88398406449815,-87.62468397185215,16265.0,5556.0,21821.0,weekday-heavy,overlap,50,500,4,145,10,39,1,2,98,26,145,470,469
Millennium Park,41.8810317,-87.62408432,17129.0,10356.0,27485.0,weekday-heavy,overlap,50,500,4,123,7,24,1,1,86,26,149,421,420
Montrose Harbor,41.963982,-87.638181,10026.0,7717.0,17743.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Navy Pier,41.892278,-87.612043,19160.0,15617.0,34777.0,weekday-heavy,overlap,50,500,0,24,1,0,0,0,12,21,36,94,94
New St & Illinois St,41.89084704062381,-87.61861681938171,13869.0,6424.0,20293.0,weekday-heavy,overlap,50,500,1,84,6,11,0,5,35,17,83,242,242
Orleans St & Merchandise Mart Plaza,41.888243,-87.63638999999999,16865.0,3074.0,19939.0,weekday-heavy,weekday_only,50,500,1,117,1,26,0,0,38,12,59,254,254
Pine Grove Ave & Waveland Ave,41.94947274088333,-87.64645278453827,10937.0,5398.0,16335.0,weekday-heavy,weekend_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Ravenswood Ave & Lawrence Ave,41.968445,-87.674226,13826.0,3647.0,17473.0,weekday-heavy,weekday_only,50,500,0,0,0,0,0,0,0,0,0,0,0
Shedd Aquarium,41.86722596201104,-87.61535540410257,11191.0,8315.0,19506.0,weekday-heavy,weekend_only,50,500,0,3,0,0,0,0,0,18,18,39,39
