end_station_name,end_lat,end_lng,return_count_weekday,return_count_weekend,total_return_count,heavy_label,topk_group,topk_union,search_radius_m,education,food_drink,health,office,other_amenity,recreation,retail,tourism,transit,total_services_all,total_services_interpretable
Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,9771.0,3168.0,12939.0,weekday-heavy,weekday_only,100,500,0,18,3,5,0,6,23,5,35,95,95
Adler Planetarium,41.866095,-87.607267,7762.0,4876.0,12638.0,weekday-heavy,weekend_only,100,500,0,0,0,0,0,0,0,4,10,14,14
Ashland Ave & Division St,41.90318794361149,-87.66894633544676,10207.0,3543.0,13750.0,weekday-heavy,weekday_only,100,500,2,2,0,0,0,0,2,0,4,10,10
Bissell St & Armitage Ave*,41.9182955629354,-87.65218332409859,7701.0,3998.0,11699.0,weekday-heavy,weekend_only,100,500,0,0,0,0,0,0,0,0,0,0,0
Broadway & Barry Ave,41.93758231600629,-87.6440978050232,11913.0,6288.0,18201.0,weekday-heavy,overlap,100,500,0,0,0,0,0,0,0,0,0,0,0
Broadway & Belmont Ave,41.94010600392988,-87.6454510048789,9289.0,4188.0,13477.0,weekday-heavy,overlap,100,500,0,0,0,0,0,0,0,0,0,0,0
Broadway & Cornelia Ave,41.945529,-87.646439,13156.0,6306.0,19462.0,weekday-heavy,overlap,100,500,0,0,0,0,0,0,0,0,0,0,0
Broadway & Sheridan Rd,41.952833,-87.649993,9007.0,4286.0,13293.0,weekday-heavy,weekend_only,100,500,0,0,0,0,0,0,0,0,0,0,0
Broadway & Waveland Ave,41.949074,-87.648636,12636.0,5882.0,18518.0,weekday-heavy,overlap,100,500,0,0,0,0,0,0,0,0,0,0,0
Buckingham Fountain,41.87130745884732,-87.62309887518705,6292.0,3598.0,9890.0,weekday-heavy,weekend_only,100,500,1,42,1,1,0,3,23,13,70,154,154
Canal St & Adams St,41.879255,-87.639904,19724.0,1747.0,21471.0,weekday-heavy,weekday_only,100,500,2,108,6,20,1,2,31,9,120,299,298
Canal St & Jackson Blvd,41.87812864569744,-87.63996997065593,10978.0,848.0,11826.0,weekday-heavy,weekday_only,100,500,2,89,3,13,0,1,29,8,98,243,243
Canal St & Madison St,41.882409,-87.639767,26693.0,2608.0,29301.0,weekday-heavy,weekday_only,100,500,2,137,6,23,1,3,49,12,111,344,343
Clarendon Ave & Gordon Ter,41.95786652415175,-87.64950513839722,9174.0,4034.0,13208.0,weekday-heavy,weekend_only,100,500,0,0,0,0,0,0,0,0,0,0,0
