service_category,weekday_profile,weekend_profile,weekend_minus_weekday,weekday_minus_weekend
tourism,0.07721498890273537,0.11276217103918525,0.035547182136449876,-0.035547182136449876
transit,0.34315784082887857,0.36800015713809514,0.024842316309216572,-0.024842316309216572
retail,0.17293372698165654,0.1740748552699004,0.0011411282882438645,-0.0011411282882438645
education,0.005306736395931451,0.004551550389759378,-0.000755186006172073,0.000755186006172073
recreation,0.009303254484197627,0.008159331123851128,-0.001143923360346499,0.001143923360346499
health,0.01675855603003548,0.014207754910750645,-0.002550801119284834,0.002550801119284834
office,0.04493238237155117,0.03140847944400796,-0.013523902927543213,0.013523902927543213
food_drink,0.3303925140050138,0.28683570068445013,-0.04355681332056366,0.04355681332056366
