service_category,profile_value
education,0.005306736395931451
food_drink,0.3303925140050138
health,0.01675855603003548
office,0.04493238237155117
recreation,0.009303254484197627
retail,0.17293372698165654
tourism,0.07721498890273537
transit,0.34315784082887857
