service_category,profile_value
education,0.004551550389759378
food_drink,0.28683570068445013
health,0.014207754910750645
office,0.03140847944400796
recreation,0.008159331123851128
retail,0.1740748552699004
tourism,0.11276217103918525
transit,0.36800015713809514
