category_set,service_categories,stations_used,profile_difference_l1,top_weekend_oriented_service,top_weekday_oriented_service,tourism_diff,food_drink_diff,office_diff,transit_diff,recreation_diff,retail_diff,health_diff,education_diff,other_amenity_diff
interpretable_only,"education, food_drink, health, office, recreation, retail, tourism, transit",75,0.12306125346782058,tourism,food_drink,0.035547182136449876,-0.04355681332056366,-0.013523902927543213,0.024842316309216572,-0.001143923360346499,0.0011411282882438645,-0.002550801119284834,-0.000755186006172073,
interpretable_plus_other,"education, food_drink, health, office, recreation, retail, tourism, transit, other_amenity",75,0.12314199649523783,tourism,food_drink,0.0355509184755306,-0.04350078034256072,-0.013505593102109775,0.024876028009447715,-0.0011409107340066976,0.0011440517626405688,-0.002548413231534992,-0.0007546751914474722,-0.00012062564595928115
without_transit,"education, food_drink, health, office, recreation, retail, tourism",75,0.17061889103961142,tourism,food_drink,0.08353749609498928,-0.05763286834730952,-0.020784624694889856,,-0.0016070185487888355,0.0017719494248164547,-0.0035397196533214284,-0.001745214275496055,
without_transit_plus_other,"education, food_drink, health, office, recreation, retail, tourism, other_amenity",75,0.1706337428190512,tourism,food_drink,0.08354700766190135,-0.05753386866292598,-0.02073946507141837,,-0.0016002351582840336,0.0017698637476242784,-0.0035337154339240145,-0.0017436126678723445,-0.00016597441510082106
