service_category,observed_weekend_minus_weekday,bootstrap_ci_low,bootstrap_median,bootstrap_ci_high,n_bootstraps,ci_excludes_zero
tourism,0.035547182136449876,0.01330988266264338,0.03445036849269976,0.05663175167766621,1000,True
transit,0.024842316309216572,-0.002088915878951748,0.023972606157878634,0.04868096201255842,1000,False
retail,0.0011411282882438645,-0.015487987438728581,0.0006636567351234746,0.024465001258029945,1000,False
education,-0.000755186006172073,-0.0018249599279353942,-0.000765545586173116,0.0002747287000283404,1000,False
recreation,-0.001143923360346499,-0.002428697893554786,-0.0011012057539189915,0.00031514679219400075,1000,False
health,-0.002550801119284834,-0.004305765619173607,-0.0024154002529735673,-0.00047307254728486836,1000,True
office,-0.013523902927543213,-0.017880144544887913,-0.013279795325067933,-0.009086344803516704,1000,True
food_drink,-0.04355681332056366,-0.06399150135956537,-0.04259581368728327,-0.020997444187850902,1000,True
