end_station_name,end_lat,end_lng,return_count_weekday,return_count_weekend,total_return_count,weekday_station_share,weekend_station_share,total_return_share,weekend_minus_weekday_share_normalized,weekday_minus_weekend_share_normalized,share_difference_orientation
DuSable Lake Shore Dr & Belmont Ave,41.940775,-87.639192,10711.0,6146.0,16857.0,0.003459889061310875,0.005102464392336839,0.0039199773038034735,0.0016425753310259643,-0.0016425753310259643,weekend_oriented
Adler Planetarium,41.866095,-87.607267,7762.0,4876.0,12638.0,0.0025072970678643464,0.004048098987477128,0.002938878398615904,0.0015408019196127814,-0.0015408019196127814,weekend_oriented
Lincoln Park Conservatory,41.92393131136619,-87.63582453131676,7981.0,4903.0,12884.0,0.0025780388944376897,0.004070514629942649,0.002996083975927149,0.0014924757355049595,-0.0014924757355049595,weekend_oriented
Broadway & Barry Ave,41.93758231600629,-87.6440978050232,11913.0,6288.0,18201.0,0.003848161552366395,0.005220354067525877,0.0042325150920405185,0.0013721925151594823,-0.0013721925151594823,weekend_oriented
Burnham Harbor,41.85741178707404,-87.61379152536392,5049.0,3554.0,8603.0,0.0016309382756566715,0.0029505627156467826,0.0020005674049131685,0.0013196244399901111,-0.0013196244399901111,weekend_oriented
Clark St & Newport St,41.94454,-87.654678,11196.0,5940.0,17136.0,0.0036165547502975035,0.004931441342414713,0.003984856800022324,0.0013148865921172093,-0.0013148865921172093,weekend_oriented
Indiana Ave & Roosevelt Rd,41.86788801019692,-87.6230410031074,13985.0,6983.0,20968.0,0.004517463217480402,0.005797349308768003,0.004875961565293423,0.0012798860912876008,-0.0012798860912876008,weekend_oriented
Larrabee St & Webster Ave,41.921822,-87.64414,9969.0,5387.0,15356.0,0.0032202067082632915,0.004472335776361626,0.0035709302650059997,0.0012521290680983345,-0.0012521290680983345,weekend_oriented
Lakefront Trail & Wilson Ave,41.9668559,-87.6430926,4062.0,3072.0,7134.0,0.0013121155230179044,0.002550401987188215,0.0016589617420261005,0.0012382864641703108,-0.0012382864641703108,weekend_oriented
Halsted St & Roscoe St,41.943667741716816,-87.64895781893892,9475.0,4982.0,14457.0,0.003060633820924334,0.004136101139378804,0.0033618741105230355,0.0010754673184544703,-0.0010754673184544703,weekend_oriented
Clark St & North Ave,41.911974,-87.631942,6653.0,3847.0,10500.0,0.0021490656264495614,0.0031938139468467,0.0024417014706019143,0.0010447483203971388,-0.0010447483203971388,weekend_oriented
Southport Ave & Waveland Ave,41.948226,-87.6640712,11217.0,5566.0,16783.0,0.0036233382131196047,0.00462094318381823,0.0039027691220106598,0.0009976049706986257,-0.0009976049706986257,weekend_oriented
Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973,10132.0,5140.0,15272.0,0.0032728593006443644,0.004267274158251115,0.0035513966532411843,0.0009944148576067507,-0.0009944148576067507,weekend_oriented
Broadway & Cornelia Ave,41.945529,-87.646439,13156.0,6306.0,19462.0,0.00424967794702697,0.005235297829169558,0.004525751811509948,0.0009856198821425882,-0.0009856198821425882,weekend_oriented
Clark St & Wrightwood Ave,41.929546,-87.643118,11618.0,5702.0,17320.0,0.003752870050817827,0.004733851605126042,0.004027644711507157,0.000980981554308215,-0.000980981554308215,weekend_oriented
Stockton Dr & Wrightwood Ave,41.93132,-87.63874200000001,8240.0,4364.0,12604.0,0.0026617016025769404,0.003623031989612425,0.0029309719367110977,0.0009613303870354846,-0.0009613303870354846,weekend_oriented
